age_from,age_to,Diff Vegetable,diff protein,diff grain,diff dairy,diff fruit, ESRD patients: Total (or %) deaths for target year, ESRD patients: Avg. Annual Mortality rates, Dialysis patients: Total (or %) deaths for target year, Dialysis patients: Avg. Annual Mortality rates
0,4,-76.295,-268.28,-313.29,192.94,111.04,32,4.39,27.5,6.665
5,9,-203.6125,-476.61,-466.24,-51.45,58.82,12.5,0.925,8,4.065
10,13,-249.52,-590.64,-603.57,-94.33,-7.54,8,0.505,3.5,1.115
14,17,-358.37,-662.64,-747.77,-125.38,-8.37,11.5,0.565,6,1.215
18,21,-345.9,-648.375,-802.13,-208.22,-12.57,57,1.45,41.5,3.13
22,24,-355.655,-640.38,-797.62,-199.05,-3.73,95,1.995,81,3.455
25,29,-297.9225,-634.8,-794.53,-197.81,-24.24,354,2.845,311,4.68
30,34,-296.0525,-611.58,-723.23,-187.27,-20.54,703,3.59,620,5.705
35,39,-279.9325,-626.29,-726.51,-236.97,1.41,1120.5,4.14,1001.5,6.46
40,44,-283.5225,-616.19,-754.38,-218.49,-13.79,1824.5,4.515,1611,6.815
45,49,-265.6325,-618.42,-774.72,-225.66,-39.02,3301.5,5.98,2893,8.735
50,54,-236.7825,-582.46,-713.44,-220.4,-6.21,5466,7.54,4798.5,10.6
55,59,-202.2875,-599.94,-700.02,-228.41,-21.98,8585.5,9.675,7515,12.955
60,64,-208.8875,-601.43,-719.47,-224.69,-19.63,11710.5,12.035,10175,15.55
65,69,-213.1275,-617.01,-734.97,-221.61,-44.26,15064,15.475,13041,19.285
70,74,-199.1075,-628.13,-728.56,-212.39,-23.47,15060,20.19,13032.5,23.96
75,79,-199.9175,-653.56,-772.19,-199.49,-37.45,14124.5,25.35,12452.5,28.05
80,84,-235.3875,-669.7,-789.86,-176.06,-33.03,11414,37.59,10768,38.8
