age_from,age_to,Gender,vegetables_recommended_low,vegetables_recommended_high,Actual Vegetable Intake,protein_recommended_low,protein_recommended_high,Actual Protein Intake,grains_recommended_low,grains_recommended_high,Actual Grain Intake,dairy_recommended_low,dairy_recommended_high,Actual Dairy Intake,fruits_recommended_low,fruits_recommended_high,Actual Fruit intakes,sugars_recommended,sugars_recommended_low,sugars_recommended_high,Actual Added Sugars Taken,oils_recommended_low,oils_recommended_high,Avg Fats oils and salad dressings taken,ESRD patients: Avg. Annual Mortality rates,Dialysis patients: Avg. Annual Mortality rates,ESRD patients: Total (or %) deaths for target year,Dialysis patients: Total (or %) deaths for target year
0,4,Neutral,168.75,262.5,113.08,63.79,122.259375,125.47,92.14,148.834875,196.71,520.63,643.125,477.94,175,273.4375,264.79,26,23.4,28.6,32.5,15.38,18.75,8.77,4.39,6.665,32,27.5
5,9,Neutral,232.5,390,136.7,93.55,154.5075,179.64,119.07,181.4368,328.76,632.1,739.9,368.55,192.5,315,276.32,35,31.5,38.5,39,17.1,26.7,14.52,0.925,4.065,12.5,8
10,13,Neutral,262.5,450,150.48,127.58,177.1875,215.61,141.75,226.796,371.43,710.5,759.5,355.67,262.5,350,254.96,45,40.5,49.5,52,19.5,31.5,21.31,0.505,1.115,8,3.5
14,17,Neutral,375,525,154.13,148.84,191.3625,237.36,170.1,255.1455,377.23,710.5,759.5,324.62,306.25,393.75,291.63,56.25,50.63,61.875,65,25.5,40.5,24.3,0.565,1.215,11.5,6
18,21,Neutral,403.13,525,185.35,159.47,191.3625,279.75,191.36,255.1455,378.87,710.5,759.5,241.78,306.25,393.75,287.43,62.5,56.25,68.75,78,26.63,38.25,25.54,1.45,3.13,57,41.5
22,24,Neutral,412.5,525,216.22,163.01,191.3625,297.12,198.45,255.1455,402.38,710.5,759.5,250.95,306.25,393.75,296.27,60,54,66,78,27,37.5,28.95,1.995,3.455,95,81
25,29,Neutral,412.5,525,222.39,163.01,191.3625,302.7,198.45,255.1455,405.47,710.5,759.5,252.19,306.25,393.75,275.76,60,54,66,78,27,37.5,25.79,2.845,4.68,354,311
30,34,Neutral,412.5,525,224.26,157.34,185.6925,295.92,187.11,243.8057,416.77,710.5,759.5,262.73,306.25,393.75,279.46,60,54,66,78,27,36.3,22.62,3.59,5.705,703,620
35,39,Neutral,412.5,525,240.38,155.93,184.275,273.71,184.27,240.97075,398.49,710.5,759.5,213.03,306.25,393.75,301.41,60,54,66,78,27,36,27.83,4.14,6.46,1120.5,1001.5
40,44,Neutral,412.5,525,236.79,155.93,184.275,283.81,184.27,240.97075,370.62,710.5,759.5,231.51,306.25,393.75,286.21,56,50.4,61.6,78,27,36,25,4.515,6.815,1824.5,1611
45,49,Neutral,412.5,525,254.68,155.93,184.275,281.58,184.27,240.97075,350.28,710.5,759.5,224.34,306.25,393.75,260.98,55,49.5,60.5,71.5,27,36,24.78,5.98,8.735,3301.5,2893
50,54,Neutral,352.5,495,231.03,150.25,184.275,302.54,161.59,240.97075,351.56,710.5,759.5,229.6,306.25,393.75,293.79,55,49.5,60.5,71.5,24.6,33.6,25.27,7.54,10.6,5466,4798.5
55,59,Neutral,337.5,487.5,252.4,148.84,184.275,281.31,155.92,240.97075,349.98,710.5,759.5,221.59,306.25,393.75,278.02,55,49.5,60.5,71.5,24,33,25.06,9.675,12.955,8585.5,7515
60,64,Neutral,337.5,487.5,245.8,148.84,184.275,279.82,155.92,240.97075,330.53,710.5,759.5,225.31,306.25,393.75,280.37,51,45.9,56.1,71.5,24,33,24.46,12.035,15.55,11710.5,10175
65,69,Neutral,337.5,487.5,241.56,148.84,184.275,264.24,155.92,240.97075,315.03,710.5,759.5,228.39,306.25,393.75,255.74,50,45,55,65,24,33,20.26,15.475,19.285,15064,13041
70,74,Neutral,337.5,487.5,255.58,148.84,184.275,253.12,155.92,240.97075,321.44,710.5,759.5,237.61,306.25,393.75,276.53,50,45,55,65,24,33,21.53,20.19,23.96,15060,13032.5
75,79,Neutral,337.5,487.5,254.77,148.84,184.275,227.69,155.92,240.97075,277.81,710.5,759.5,250.51,306.25,393.75,262.55,50,45,55,65,24,33,20.51,25.35,28.05,14124.5,12452.5
80,84,Neutral,337.5,487.5,219.3,148.84,184.275,211.55,155.92,240.97075,260.14,710.5,759.5,273.94,306.25,393.75,266.97,50,45,55,65,24,33,18.88,37.59,38.8,11414,10768
