,vegetables_ratio,protein_ratio,grain_ratio,dairy_ratio,fruits_ratio,sugars_ratio,oils_ratio,ESRD patients: Avg. Annual Mortality rates
0,0.43078095200000005,1.0262607670000001,1.3216660409999998,0.743152575,0.968374857,1.136363636,0.467733333,4.39
1,0.35051282100000003,1.162662007,1.811980811,0.498107852,0.877206349,1.012987013,0.543820225,0.925
2,0.3344,1.2168465609999999,1.6377272969999999,0.468294931,0.728457143,1.050505051,0.676507937,0.505
3,0.293580952,1.240368411,1.4784897240000001,0.42741277200000005,0.7406476190000001,1.050505051,0.6,0.565
4,0.353047619,1.4618851659999998,1.484917429,0.318341014,0.729980952,1.134545455,0.6677124179999999,1.45
5,0.411847619,1.552655301,1.577060932,0.330414747,0.752431746,1.181818182,0.772,1.995
6,0.4236,1.581814619,1.589171669,0.3320474,0.700342857,1.181818182,0.687733333,2.845
7,0.427161905,1.5936023259999998,1.7094350130000002,0.34592495100000004,0.709739683,1.181818182,0.623140496,3.59
8,0.457866667,1.485334419,1.6536861840000001,0.280487163,0.7654857140000001,1.181818182,0.773055556,4.14
9,0.451028571,1.540143807,1.5380289930000002,0.30481896,0.72688254,1.266233766,0.694444444,4.515
10,0.485104762,1.5280423280000002,1.4536204080000001,0.295378539,0.662806349,1.181818182,0.688333333,5.98
11,0.46672727299999994,1.641785375,1.458932256,0.30230414699999997,0.746133333,1.181818182,0.752083333,7.54
12,0.51774359,1.526577127,1.452375444,0.291757735,0.70608254,1.181818182,0.7593939390000001,9.675
13,0.504205128,1.518491385,1.3716602530000002,0.296655695,0.712050794,1.274509804,0.7412121209999999,12.035
14,0.49550769200000006,1.4339438340000001,1.307337094,0.300710994,0.649498413,1.181818182,0.613939394,15.475
15,0.524266667,1.37359924,1.333937833,0.31285056,0.702298413,1.181818182,0.652424242,20.19
16,0.5226051279999999,1.235598969,1.1528785129999999,0.329835418,0.666793651,1.181818182,0.6215151520000001,25.35
17,0.449846154,1.1480124809999999,1.0795501109999999,0.360684661,0.678019048,1.181818182,0.572121212,37.59
